省份,行政区划代码,M0,C1,C2,C3,C4,C5
上海,310000,1,1,1,1,1,1
云南,530000,2,3,2,3,2,2
内蒙古,150000,0,0,0,0,0,0
北京,110000,1,1,1,1,1,1
吉林,220000,0,0,0,0,0,0
四川,510000,2,3,2,3,2,2
天津,120000,1,1,1,1,1,1
宁夏,640000,2,2,2,2,2,2
安徽,340000,3,3,3,0,3,2
山东,370000,3,3,3,3,3,3
山西,140000,2,3,2,2,2,2
广东,440000,3,3,3,3,3,3
广西,450000,2,3,2,3,2,2
新疆,650000,2,2,2,2,2,2
江苏,320000,3,3,3,0,3,3
江西,360000,3,3,0,0,3,2
河北,130000,0,3,0,0,3,2
河南,410000,0,3,0,0,3,2
浙江,330000,3,3,3,0,3,3
海南,460000,3,3,3,3,3,2
湖北,420000,2,3,2,3,2,3
湖南,430000,3,3,3,0,3,2
甘肃,620000,2,2,2,2,2,2
福建,350000,3,3,3,3,3,3
西藏,540000,4,4,4,4,4,4
贵州,520000,2,2,2,2,2,2
辽宁,210000,0,0,0,0,0,0
重庆,500000,3,3,3,0,3,3
陕西,610000,2,3,0,2,2,2
青海,630000,2,2,2,2,2,2
黑龙江,230000,0,0,0,0,0,0
