省份,行政区划代码,年份,口粮（千克/人）
上海,310000,2015,102.7
上海,310000,2016,105.4
上海,310000,2017,98.1
上海,310000,2018,110.5
上海,310000,2019,105.3
上海,310000,2020,111.4
上海,310000,2021,117.1
上海,310000,2022,102.1
上海,310000,2023,99.1
上海,310000,2024,93.6
云南,530000,2015,134.5
云南,530000,2016,135.1
云南,530000,2017,126.8
云南,530000,2018,117.3
云南,530000,2019,124.0
云南,530000,2020,139.1
云南,530000,2021,141.0
云南,530000,2022,135.8
云南,530000,2023,125.8
云南,530000,2024,118.2
内蒙古,150000,2015,156.5
内蒙古,150000,2016,156.1
内蒙古,150000,2017,152.3
内蒙古,150000,2018,153.0
内蒙古,150000,2019,169.8
内蒙古,150000,2020,173.1
内蒙古,150000,2021,158.7
内蒙古,150000,2022,153.2
内蒙古,150000,2023,168.6
内蒙古,150000,2024,164.8
北京,110000,2015,90.8
北京,110000,2016,83.8
北京,110000,2017,75.7
北京,110000,2018,91.9
北京,110000,2019,97.3
北京,110000,2020,107.2
北京,110000,2021,109.9
北京,110000,2022,94.5
北京,110000,2023,91.5
北京,110000,2024,86.3
吉林,220000,2015,129.7
吉林,220000,2016,137.6
吉林,220000,2017,142.2
吉林,220000,2018,132.6
吉林,220000,2019,140.6
吉林,220000,2020,157.5
吉林,220000,2021,156.1
吉林,220000,2022,147.1
吉林,220000,2023,140.7
吉林,220000,2024,144.3
四川,510000,2015,160.74
四川,510000,2016,155.84
四川,510000,2017,160.2
四川,510000,2018,146.58
四川,510000,2019,142.7
四川,510000,2020,146.9
四川,510000,2021,147.4
四川,510000,2022,134.3
四川,510000,2023,126.1
四川,510000,2024,117.9
天津,120000,2015,127.4
天津,120000,2016,126.9
天津,120000,2017,120.1
天津,120000,2018,118.3
天津,120000,2019,105.2
天津,120000,2020,111.1
天津,120000,2021,107.2
天津,120000,2022,101.2
天津,120000,2023,98.1
天津,120000,2024,91.9
宁夏,640000,2015,131.1
宁夏,640000,2016,123.1
宁夏,640000,2017,111.2
宁夏,640000,2018,112.1
宁夏,640000,2019,106.7
宁夏,640000,2020,115.6
宁夏,640000,2021,121.0
宁夏,640000,2022,117.1
宁夏,640000,2023,109.4
宁夏,640000,2024,107.7
安徽,340000,2015,142.0
安徽,340000,2016,140.9
安徽,340000,2017,137.3
安徽,340000,2018,139.5
安徽,340000,2019,147.3
安徽,340000,2020,148.3
安徽,340000,2021,151.6
安徽,340000,2022,139.5
安徽,340000,2023,147.1
安徽,340000,2024,134.3
山东,370000,2015,127.4
山东,370000,2016,125.7
山东,370000,2017,122.8
山东,370000,2018,117.2
山东,370000,2019,117.6
山东,370000,2020,124.0
山东,370000,2021,133.9
山东,370000,2022,131.6
山东,370000,2023,127.7
山东,370000,2024,98.8
山西,140000,2015,131.6
山西,140000,2016,134.6
山西,140000,2017,135.7
山西,140000,2018,137.6
山西,140000,2019,139.4
山西,140000,2020,159.3
山西,140000,2021,154.9
山西,140000,2022,133.4
山西,140000,2023,113.6
山西,140000,2024,116.8
广东,440000,2015,118.3
广东,440000,2016,118.1
广东,440000,2017,116.8
广东,440000,2018,108.7
广东,440000,2019,115.9
广东,440000,2020,128.2
广东,440000,2021,111.6
广东,440000,2022,106.5
广东,440000,2023,114.3
广东,440000,2024,105.8
广西,450000,2015,143.4
广西,450000,2016,139.0
广西,450000,2017,133.9
广西,450000,2018,128.3
广西,450000,2019,133.6
广西,450000,2020,141.8
广西,450000,2021,146.7
广西,450000,2022,134.3
广西,450000,2023,122.1
广西,450000,2024,118.7
新疆,650000,2015,181.9
新疆,650000,2016,168.1
新疆,650000,2017,159.1
新疆,650000,2018,156.2
新疆,650000,2019,133.6
新疆,650000,2020,156.0
新疆,650000,2021,132.0
新疆,650000,2022,130.4
新疆,650000,2023,133.5
新疆,650000,2024,124.3
江苏,320000,2015,122.0
江苏,320000,2016,116.9
江苏,320000,2017,114.8
江苏,320000,2018,121.9
江苏,320000,2019,120.3
江苏,320000,2020,122.1
江苏,320000,2021,134.1
江苏,320000,2022,131.8
江苏,320000,2023,136.7
江苏,320000,2024,131.3
江西,360000,2015,150.9
江西,360000,2016,146.2
江西,360000,2017,140.4
江西,360000,2018,134.5
江西,360000,2019,134.0
江西,360000,2020,154.0
江西,360000,2021,174.3
江西,360000,2022,160.9
江西,360000,2023,158.4
江西,360000,2024,143.2
河北,130000,2015,131.5
河北,130000,2016,130.6
河北,130000,2017,124.8
河北,130000,2018,130.8
河北,130000,2019,143.9
河北,130000,2020,161.8
河北,130000,2021,173.8
河北,130000,2022,181.4
河北,130000,2023,171.4
河北,130000,2024,147.3
河南,410000,2015,127.3
河南,410000,2016,125.1
河南,410000,2017,124.5
河南,410000,2018,123.4
河南,410000,2019,132.2
河南,410000,2020,150.9
河南,410000,2021,146.7
河南,410000,2022,137.0
河南,410000,2023,151.0
河南,410000,2024,141.9
浙江,330000,2015,130.6
浙江,330000,2016,135.6
浙江,330000,2017,134.1
浙江,330000,2018,132.9
浙江,330000,2019,132.9
浙江,330000,2020,137.3
浙江,330000,2021,152.1
浙江,330000,2022,146.5
浙江,330000,2023,133.8
浙江,330000,2024,128.5
海南,460000,2015,100.9
海南,460000,2016,99.38
海南,460000,2017,96.03
海南,460000,2018,94.84
海南,460000,2019,99.9
海南,460000,2020,107.7
海南,460000,2021,114.3
海南,460000,2022,104.6
海南,460000,2023,100.0
海南,460000,2024,100.2
湖北,420000,2015,123.1
湖北,420000,2016,115.3
湖北,420000,2017,112.2
湖北,420000,2018,110.9
湖北,420000,2019,117.7
湖北,420000,2020,132.9
湖北,420000,2021,134.9
湖北,420000,2022,117.2
湖北,420000,2023,116.7
湖北,420000,2024,99.3
湖南,430000,2015,148.4
湖南,430000,2016,144.4
湖南,430000,2017,146.6
湖南,430000,2018,137.6
湖南,430000,2019,144.1
湖南,430000,2020,157.2
湖南,430000,2021,161.5
湖南,430000,2022,159.1
湖南,430000,2023,143.9
湖南,430000,2024,138.6
甘肃,620000,2015,159.9
甘肃,620000,2016,157.4
甘肃,620000,2017,151.0
甘肃,620000,2018,151.8
甘肃,620000,2019,158.0
甘肃,620000,2020,159.0
甘肃,620000,2021,165.3
甘肃,620000,2022,152.5
甘肃,620000,2023,138.0
甘肃,620000,2024,131.4
福建,350000,2015,126.7
福建,350000,2016,128.4
福建,350000,2017,122.0
福建,350000,2018,125.1
福建,350000,2019,120.2
福建,350000,2020,124.4
福建,350000,2021,129.2
福建,350000,2022,120.9
福建,350000,2023,129.0
福建,350000,2024,117.0
西藏,540000,2015,276.9
西藏,540000,2016,283.3
西藏,540000,2017,284.5
西藏,540000,2018,208.9
西藏,540000,2019,187.6
西藏,540000,2020,193.6
西藏,540000,2021,161.0
西藏,540000,2022,176.0
西藏,540000,2023,168.7
西藏,540000,2024,124.0
贵州,520000,2015,135.8
贵州,520000,2016,129.5
贵州,520000,2017,121.1
贵州,520000,2018,111.3
贵州,520000,2019,108.9
贵州,520000,2020,119.3
贵州,520000,2021,132.8
贵州,520000,2022,121.2
贵州,520000,2023,122.2
贵州,520000,2024,119.5
辽宁,210000,2015,135.8
辽宁,210000,2016,134.7
辽宁,210000,2017,128.6
辽宁,210000,2018,127.8
辽宁,210000,2019,127.9
辽宁,210000,2020,145.9
辽宁,210000,2021,161.3
辽宁,210000,2022,149.3
辽宁,210000,2023,145.7
辽宁,210000,2024,144.5
重庆,500000,2015,149.77
重庆,500000,2016,151.06
重庆,500000,2017,152.55
重庆,500000,2018,135.74
重庆,500000,2019,138.1
重庆,500000,2020,149.5
重庆,500000,2021,161.0
重庆,500000,2022,158.2
重庆,500000,2023,149.7
重庆,500000,2024,135.3
陕西,610000,2015,132.7
陕西,610000,2016,131.1
陕西,610000,2017,132.4
陕西,610000,2018,131.7
陕西,610000,2019,132.2
陕西,610000,2020,142.3
陕西,610000,2021,153.5
陕西,610000,2022,148.2
陕西,610000,2023,145.8
陕西,610000,2024,137.7
青海,630000,2015,117.6
青海,630000,2016,123.8
青海,630000,2017,116.8
青海,630000,2018,113.2
青海,630000,2019,108.1
青海,630000,2020,112.2
青海,630000,2021,122.4
青海,630000,2022,120.4
青海,630000,2023,106.5
青海,630000,2024,102.3
黑龙江,230000,2015,138.6
黑龙江,230000,2016,142.6
黑龙江,230000,2017,141.2
黑龙江,230000,2018,139.9
黑龙江,230000,2019,138.8
黑龙江,230000,2020,167.1
黑龙江,230000,2021,169.7
黑龙江,230000,2022,148.0
黑龙江,230000,2023,144.1
黑龙江,230000,2024,134.6
