省份,行政区划代码,M0,C1,C2,C3,C4,C5,C1与M0一致,C2与M0一致,C3与M0一致,C4与M0一致,C5与M0一致,发生变化次数,稳定实验数量（含M0）
内蒙古,150000,0,0,0,0,0,0,True,True,True,True,True,0,6
吉林,220000,0,0,0,0,0,0,True,True,True,True,True,0,6
辽宁,210000,0,0,0,0,0,0,True,True,True,True,True,0,6
黑龙江,230000,0,0,0,0,0,0,True,True,True,True,True,0,6
河北,130000,0,3,0,0,3,2,False,True,True,False,False,3,3
河南,410000,0,3,0,0,3,2,False,True,True,False,False,3,3
上海,310000,1,1,1,1,1,1,True,True,True,True,True,0,6
北京,110000,1,1,1,1,1,1,True,True,True,True,True,0,6
天津,120000,1,1,1,1,1,1,True,True,True,True,True,0,6
宁夏,640000,2,2,2,2,2,2,True,True,True,True,True,0,6
新疆,650000,2,2,2,2,2,2,True,True,True,True,True,0,6
甘肃,620000,2,2,2,2,2,2,True,True,True,True,True,0,6
贵州,520000,2,2,2,2,2,2,True,True,True,True,True,0,6
青海,630000,2,2,2,2,2,2,True,True,True,True,True,0,6
山西,140000,2,3,2,2,2,2,False,True,True,True,True,1,5
云南,530000,2,3,2,3,2,2,False,True,False,True,True,2,4
四川,510000,2,3,2,3,2,2,False,True,False,True,True,2,4
广西,450000,2,3,2,3,2,2,False,True,False,True,True,2,4
陕西,610000,2,3,0,2,2,2,False,False,True,True,True,2,4
湖北,420000,2,3,2,3,2,3,False,True,False,True,False,3,3
山东,370000,3,3,3,3,3,3,True,True,True,True,True,0,6
广东,440000,3,3,3,3,3,3,True,True,True,True,True,0,6
福建,350000,3,3,3,3,3,3,True,True,True,True,True,0,6
江苏,320000,3,3,3,0,3,3,True,True,False,True,True,1,5
浙江,330000,3,3,3,0,3,3,True,True,False,True,True,1,5
海南,460000,3,3,3,3,3,2,True,True,True,True,False,1,5
重庆,500000,3,3,3,0,3,3,True,True,False,True,True,1,5
安徽,340000,3,3,3,0,3,2,True,True,False,True,False,2,4
湖南,430000,3,3,3,0,3,2,True,True,False,True,False,2,4
江西,360000,3,3,0,0,3,2,True,False,False,True,False,3,3
西藏,540000,4,4,4,4,4,4,True,True,True,True,True,0,6
