省份,年份,行政区划代码,饲料粮折算值（千克/人）
上海,2015,310000,148.98
上海,2016,310000,151.89
上海,2017,310000,147.25
上海,2018,310000,158.39
上海,2019,310000,154.99
上海,2020,310000,160.06000000000003
上海,2021,310000,175.53
上海,2022,310000,169.11
上海,2023,310000,175.30999999999997
上海,2024,310000,172.26
云南,2015,530000,118.84
云南,2016,530000,120.94
云南,2017,530000,121.72
云南,2018,530000,121.83
云南,2019,530000,126.52
云南,2020,530000,121.18999999999998
云南,2021,530000,144.98
云南,2022,530000,153.72000000000003
云南,2023,530000,167.83999999999995
云南,2024,530000,162.12999999999997
内蒙古,2015,150000,115.12999999999998
内蒙古,2016,150000,118.26999999999998
内蒙古,2017,150000,117.14
内蒙古,2018,150000,124.39999999999998
内蒙古,2019,150000,129.45999999999998
内蒙古,2020,150000,135.99
内蒙古,2021,150000,162.22
内蒙古,2022,150000,153.81999999999996
内蒙古,2023,150000,174.28999999999996
内蒙古,2024,150000,177.08
北京,2015,110000,116.39
北京,2016,110000,105.36
北京,2017,110000,103.29
北京,2018,110000,123.43
北京,2019,110000,121.86
北京,2020,110000,132.85
北京,2021,110000,142.19
北京,2022,110000,132.48
北京,2023,110000,138.24
北京,2024,110000,123.45
吉林,2015,220000,90.24
吉林,2016,220000,92.45
吉林,2017,220000,99.0
吉林,2018,220000,108.58
吉林,2019,220000,106.87
吉林,2020,220000,108.50999999999998
吉林,2021,220000,137.89
吉林,2022,220000,135.29
吉林,2023,220000,142.89
吉林,2024,220000,139.5
四川,2015,510000,166.455
四川,2016,510000,162.043
四川,2017,510000,173.767
四川,2018,510000,180.893
四川,2019,510000,170.82000000000002
四川,2020,510000,156.31
四川,2021,510000,182.64999999999995
四川,2022,510000,188.02
四川,2023,510000,206.79
四川,2024,510000,194.33
天津,2015,120000,125.08
天津,2016,120000,130.29
天津,2017,120000,130.7
天津,2018,120000,132.83
天津,2019,120000,128.71
天津,2020,120000,133.17
天津,2021,120000,141.15
天津,2022,120000,142.80999999999997
天津,2023,120000,142.58999999999995
天津,2024,120000,137.95000000000002
宁夏,2015,640000,69.06
宁夏,2016,640000,66.44
宁夏,2017,640000,63.87
宁夏,2018,640000,68.87
宁夏,2019,640000,71.22
宁夏,2020,640000,73.17
宁夏,2021,640000,84.02
宁夏,2022,640000,89.74
宁夏,2023,640000,85.35000000000001
宁夏,2024,640000,87.42999999999999
安徽,2015,340000,118.94
安徽,2016,340000,122.76
安徽,2017,340000,122.14
安徽,2018,340000,139.08
安徽,2019,340000,144.57
安徽,2020,340000,140.79000000000002
安徽,2021,340000,161.28
安徽,2022,340000,166.32
安徽,2023,340000,196.57
安徽,2024,340000,195.37
山东,2015,370000,106.23999999999998
山东,2016,370000,109.32
山东,2017,370000,109.94
山东,2018,370000,117.15
山东,2019,370000,118.22
山东,2020,370000,121.26
山东,2021,370000,148.96
山东,2022,370000,149.64
山东,2023,370000,178.41
山东,2024,370000,166.46
山西,2015,140000,68.09
山西,2016,140000,65.39999999999999
山西,2017,140000,69.50999999999999
山西,2018,140000,75.22999999999999
山西,2019,140000,79.27
山西,2020,140000,86.73
山西,2021,140000,98.73
山西,2022,140000,102.24
山西,2023,140000,99.22
山西,2024,140000,95.4
广东,2015,440000,173.1
广东,2016,440000,173.97
广东,2017,440000,176.56
广东,2018,440000,194.09
广东,2019,440000,201.5
广东,2020,440000,200.49
广东,2021,440000,196.37
广东,2022,440000,208.3
广东,2023,440000,237.88
广东,2024,440000,231.42
广西,2015,450000,152.82
广西,2016,450000,151.85000000000002
广西,2017,450000,155.2
广西,2018,450000,164.66
广西,2019,450000,160.04
广西,2020,450000,159.74
广西,2021,450000,180.2
广西,2022,450000,180.81
广西,2023,450000,188.12
广西,2024,450000,187.54
新疆,2015,650000,72.05000000000001
新疆,2016,650000,72.51
新疆,2017,650000,71.31
新疆,2018,650000,69.19
新疆,2019,650000,68.41
新疆,2020,650000,76.46
新疆,2021,650000,83.47
新疆,2022,650000,82.75
新疆,2023,650000,83.13
新疆,2024,650000,88.11999999999999
江苏,2015,320000,130.21
江苏,2016,320000,131.54
江苏,2017,320000,132.2
江苏,2018,320000,138.18
江苏,2019,320000,133.33
江苏,2020,320000,139.71
江苏,2021,320000,169.11
江苏,2022,320000,178.51
江苏,2023,320000,205.18
江苏,2024,320000,203.96
江西,2015,360000,117.13
江西,2016,360000,114.12999999999997
江西,2017,360000,118.17
江西,2018,360000,135.44
江西,2019,360000,136.29
江西,2020,360000,149.14999999999998
江西,2021,360000,179.14
江西,2022,360000,183.68
江西,2023,360000,214.34
江西,2024,360000,203.16000000000005
河北,2015,130000,88.41000000000001
河北,2016,130000,91.59
河北,2017,130000,92.34
河北,2018,130000,105.17
河北,2019,130000,104.33999999999996
河北,2020,130000,112.98
河北,2021,130000,141.91
河北,2022,130000,150.41
河北,2023,130000,168.29999999999998
河北,2024,130000,142.82000000000002
河南,2015,410000,83.29
河南,2016,410000,84.35
河南,2017,410000,86.93
河南,2018,410000,92.52
河南,2019,410000,96.01999999999998
河南,2020,410000,103.33
河南,2021,410000,136.02999999999997
河南,2022,410000,137.22000000000003
河南,2023,410000,169.23999999999998
河南,2024,410000,157.68
浙江,2015,330000,135.68
浙江,2016,330000,136.23
浙江,2017,330000,138.97
浙江,2018,330000,145.96
浙江,2019,330000,147.18
浙江,2020,330000,146.36999999999998
浙江,2021,330000,189.64
浙江,2022,330000,195.38
浙江,2023,330000,198.08
浙江,2024,330000,201.17000000000004
海南,2015,450000,155.945
海南,2016,450000,167.50399999999996
海南,2017,450000,156.99499999999998
海南,2018,450000,208.686
海南,2019,450000,154.95000000000002
海南,2020,450000,157.08999999999995
海南,2021,450000,195.53
海南,2022,450000,193.44
海南,2023,450000,226.53
海南,2024,450000,222.89
湖北,2015,420000,121.09
湖北,2016,420000,117.47
湖北,2017,420000,113.3
湖北,2018,420000,120.53
湖北,2019,420000,118.79999999999998
湖北,2020,420000,122.07999999999998
湖北,2021,420000,154.82999999999998
湖北,2022,420000,148.34000000000003
湖北,2023,420000,166.29999999999998
湖北,2024,420000,144.57999999999996
湖南,2015,430000,133.89999999999998
湖南,2016,430000,135.09999999999997
湖南,2017,430000,142.54999999999998
湖南,2018,430000,151.73
湖南,2019,430000,148.52999999999997
湖南,2020,430000,145.90999999999997
湖南,2021,430000,177.70000000000002
湖南,2022,430000,181.52
湖南,2023,430000,203.45999999999995
湖南,2024,430000,190.21
甘肃,2015,620000,77.88
甘肃,2016,620000,75.63
甘肃,2017,620000,74.49
甘肃,2018,620000,87.22999999999999
甘肃,2019,620000,87.35000000000001
甘肃,2020,620000,84.92999999999999
甘肃,2021,620000,104.93
甘肃,2022,620000,104.6
甘肃,2023,620000,102.55
甘肃,2024,620000,97.40999999999998
福建,2015,350000,150.59
福建,2016,350000,157.29999999999998
福建,2017,350000,155.93
福建,2018,350000,164.54999999999998
福建,2019,350000,147.18
福建,2020,350000,146.69
福建,2021,350000,176.45
福建,2022,350000,178.76999999999995
福建,2023,350000,205.95000000000005
福建,2024,350000,204.51
西藏,2015,540000,99.72
西藏,2016,540000,101.92
西藏,2017,540000,82.64999999999999
西藏,2018,540000,80.01
西藏,2019,540000,73.42
西藏,2020,540000,74.05999999999999
西藏,2021,540000,83.59
西藏,2022,540000,88.74
西藏,2023,540000,94.29
西藏,2024,540000,92.79
贵州,2015,520000,123.94
贵州,2016,520000,118.63
贵州,2017,520000,116.3
贵州,2018,520000,117.73
贵州,2019,520000,110.58
贵州,2020,520000,102.88
贵州,2021,520000,124.17
贵州,2022,520000,133.64999999999998
贵州,2023,520000,132.7
贵州,2024,520000,136.6
辽宁,2015,210000,117.08
辽宁,2016,210000,123.3
辽宁,2017,210000,123.93
辽宁,2018,210000,121.5
辽宁,2019,210000,122.73
辽宁,2020,210000,129.67
辽宁,2021,210000,168.57
辽宁,2022,210000,171.57000000000002
辽宁,2023,210000,186.34
辽宁,2024,210000,174.21999999999997
重庆,2015,500000,169.02300000000002
重庆,2016,500000,171.764
重庆,2017,500000,174.016
重庆,2018,500000,184.071
重庆,2019,500000,174.65000000000003
重庆,2020,500000,169.40999999999997
重庆,2021,500000,212.79
重庆,2022,500000,234.04
重庆,2023,500000,246.21999999999997
重庆,2024,500000,231.87
陕西,2015,610000,64.07
陕西,2016,610000,63.18000000000001
陕西,2017,610000,66.69
陕西,2018,610000,72.29
陕西,2019,610000,74.11
陕西,2020,610000,76.38
陕西,2021,610000,92.3
陕西,2022,610000,98.4
陕西,2023,610000,109.54
陕西,2024,610000,100.85
青海,2015,630000,74.95
青海,2016,630000,84.57
青海,2017,630000,82.12
青海,2018,630000,80.81
青海,2019,630000,78.07000000000001
青海,2020,630000,78.73
青海,2021,630000,86.75
青海,2022,630000,100.28
青海,2023,630000,100.21
青海,2024,630000,97.24
黑龙江,2015,230000,89.34
黑龙江,2016,230000,93.75
黑龙江,2017,230000,100.81
黑龙江,2018,230000,110.42
黑龙江,2019,230000,103.67
黑龙江,2020,230000,117.42
黑龙江,2021,230000,151.61999999999998
黑龙江,2022,230000,142.07
黑龙江,2023,230000,157.7
黑龙江,2024,230000,146.26
