省份,行政区划代码,饲料粮均值,饲料粮最新年值,饲料粮首年值,饲料粮变化量,饲料粮变化率,饲料粮线性趋势斜率,饲料粮标准差,饲料粮变异系数
上海,310000,0.770063460048094,0.31676280097342385,1.069696147467187,-0.8323753240438493,-1.0627481048197742,-0.8896419529793793,-1.107730864797577,-1.5543386439898577
云南,530000,0.047943355807159596,0.08724498281540631,0.11301611026621154,0.012244958489826834,-0.09767461218828642,-0.04439519134194577,-0.11894427894581701,-0.18724681774435908
内蒙古,150000,0.1846305785614157,0.4259706868097168,-0.004743774870339289,0.7998818636411753,0.7087594385769045,0.6083532202160096,0.4555575280788075,0.3596955077492923
北京,110000,-0.29361837341677627,-0.7891369724019768,0.035250148383584014,-1.5170200508152762,-1.506312831773405,-0.9574874959649702,-0.8562584743236082,-0.8611458384011652
吉林,220000,-0.5162289636873818,-0.4254883069097583,-0.7947824651799703,0.2642381162472527,0.7449030839496724,0.21878172006612645,0.047037291980384734,0.48267250336861045
四川,510000,1.2484488434401395,0.8168080375723815,1.6243737735483774,-0.6384207913980597,-1.0107843564866432,-0.707321483613802,-0.5646488724624389,-1.197074381818992
天津,120000,0.006928662017515516,-0.4606070253840843,0.31108125399992376,-1.271780478525387,-1.3103553626944981,-1.4087138693878822,-1.660305275120606,-1.9456456087764762
宁夏,640000,-1.658984170764716,-1.6052506752698716,-1.4670612703530514,-1.0396259780788502,-0.5536096554373771,-1.0256268334453968,-1.2539237052690797,-0.44939113298642114
安徽,340000,0.46891953717819335,0.840371564806768,0.11619023115937983,1.411081348453151,1.1936214169948471,1.1018860008950049,0.9862436492201825,0.6986925605413609
山东,370000,-0.049008217662329025,0.18535082216626741,-0.28692312227301603,0.7268587207734459,0.8421123525892469,0.7542012015800471,0.6958116069150085,0.8383807451091672
山西,140000,-1.4297509722799826,-1.4246724905986576,-1.4978502430167855,-0.662269390080295,0.07313396480635673,-0.5016443519089652,-0.7093796739530843,0.3356112234540633
广东,440000,1.8498896774856026,1.6571649848064234,1.8352941068994215,0.6466598933464586,-0.2245960043157825,0.36429393629316975,0.24959201531849629,-0.7306903255298447
广西,450000,0.9610958626539086,0.662965393417106,1.1915823897648563,-0.34949396311505015,-0.7336495080129918,-0.46680871895006876,-0.6771928807280873,-1.2049030260256293
新疆,650000,-1.6355918679311217,-1.5896171812393651,-1.3721550556473139,-1.1367087691746756,-0.7529308575665378,-1.334929480542424,-1.5630749429776651,-1.1027576108701274
江苏,320000,0.6227175330865494,1.0349972368677125,0.4739136558194664,1.2979587918719284,0.8400845345228507,1.1474031622732452,1.2081882500961287,0.7989518970977274
江西,360000,0.5905993044085894,1.016871446687416,0.058738642993030506,1.8162964765052922,1.6199533230816145,2.065091252208298,2.0169363003728464,1.6384118497735147
河北,130000,-0.4109209661193793,-0.35026627766152324,-0.8528688775249528,0.48161914848355675,1.067588162213066,0.9919439038639349,0.9889196313607883,1.6066726668685816
河南,410000,-0.5577552752789745,-0.013579725062497603,-1.0153838672551785,1.3249731337420712,2.356075858086829,1.4476611359935898,1.4410863193100811,2.4202006158083247
浙江,330000,0.8294395482854904,0.9717835436139258,0.6475380686757816,0.949304942110402,0.4516915772192912,0.9893627093736111,0.9793182122290599,0.4204051795486937
海南,450000,1.4118311461716886,1.4638987470090015,1.290773667676371,1.0107203599558023,0.20396633076300344,0.41424739454342274,1.027112819761187,0.10191708890331731
湖北,420000,-0.044119425332586504,-0.31038953926487023,0.18443383036250205,-0.8235112431177108,-0.8877182061613335,-0.2698404954849039,-0.16211653342920565,-0.17413901356641673
湖南,430000,0.7610817253027529,0.7234602181438493,0.5910387167773818,0.5618179759105435,0.16337809825458893,0.6133267413071449,0.5518557300112353,0.05471612418397601
甘肃,620000,-1.2672270505272607,-1.3791314427706607,-1.1871038075755929,-0.9906624834392168,-0.6242712504795743,-0.8346813971243567,-0.9838299913624573,-0.3414960962339862
福建,350000,0.9808215712401952,1.0474587176166665,1.1207994938472,0.46093629298922784,-0.12650026780294127,0.025297059896901137,0.22851577073340756,-0.37483642239447135
西藏,540000,-1.3405873586846193,-1.4838078810618782,-0.4938758045075995,-2.1075366801329247,-2.110167069646285,-2.1764618403522653,-1.2099097936652818,-0.6732035380739494
贵州,520000,-0.3571726737034303,-0.4911942963133369,0.2748962758178032,-1.2806445594515286,-1.3138255288400478,-1.3690516125852576,-1.13110102874086,-1.177550143338932
辽宁,210000,0.27305518866507467,0.36117098691515226,0.05715158254644636,0.5968522005233822,0.47657147302546293,0.7947238565460905,0.8587834303479812,0.7282571524994942
重庆,500000,1.7764838921902935,1.6673607417828413,1.705885198084944,0.8377441521685449,-0.06262791714482772,1.0590591576766781,1.2750430957194265,0.10899875453802144
陕西,610000,-1.4923104601739563,-1.3011905449953811,-1.6254499029221583,-0.2625415502205285,0.8756556184426592,-0.1821428387769811,-0.3885138282913045,1.0318172297183603
青海,630000,-1.3617910742543164,-1.3829831731839735,-1.2801055497454288,-0.8741631341242265,-0.4079375067954555,-1.1412139818415192,-1.2719920328477599,-0.766881748326815
黑龙江,230000,-0.3688830367258368,-0.27232537988624467,-0.8233495532184862,0.5875660205055213,1.1682138076393627,0.7143290915668513,0.6489205254597984,1.1158992489149369
