省份,年份,行政区划代码,口粮（千克/人）
上海,2015,310000,102.7
上海,2016,310000,105.4
上海,2017,310000,98.1
上海,2018,310000,110.5
上海,2019,310000,105.3
上海,2020,310000,111.4
上海,2021,310000,117.1
上海,2022,310000,102.1
上海,2023,310000,99.1
上海,2024,310000,93.6
云南,2015,530000,134.5
云南,2016,530000,135.1
云南,2017,530000,126.8
云南,2018,530000,117.3
云南,2019,530000,124.0
云南,2020,530000,139.1
云南,2021,530000,141.0
云南,2022,530000,135.8
云南,2023,530000,125.8
云南,2024,530000,118.2
内蒙古,2015,150000,156.5
内蒙古,2016,150000,156.1
内蒙古,2017,150000,152.3
内蒙古,2018,150000,153.0
内蒙古,2019,150000,169.8
内蒙古,2020,150000,173.1
内蒙古,2021,150000,158.7
内蒙古,2022,150000,153.2
内蒙古,2023,150000,168.6
内蒙古,2024,150000,164.8
北京,2015,110000,90.8
北京,2016,110000,83.8
北京,2017,110000,75.7
北京,2018,110000,91.9
北京,2019,110000,97.3
北京,2020,110000,107.2
北京,2021,110000,109.9
北京,2022,110000,94.5
北京,2023,110000,91.5
北京,2024,110000,86.3
吉林,2015,220000,129.7
吉林,2016,220000,137.6
吉林,2017,220000,142.2
吉林,2018,220000,132.6
吉林,2019,220000,140.6
吉林,2020,220000,157.5
吉林,2021,220000,156.1
吉林,2022,220000,147.1
吉林,2023,220000,140.7
吉林,2024,220000,144.3
四川,2015,510000,160.74
四川,2016,510000,155.84
四川,2017,510000,160.2
四川,2018,510000,146.58
四川,2019,510000,142.7
四川,2020,510000,146.9
四川,2021,510000,147.4
四川,2022,510000,134.3
四川,2023,510000,126.1
四川,2024,510000,117.9
天津,2015,120000,127.4
天津,2016,120000,126.9
天津,2017,120000,120.1
天津,2018,120000,118.3
天津,2019,120000,105.2
天津,2020,120000,111.1
天津,2021,120000,107.2
天津,2022,120000,101.2
天津,2023,120000,98.1
天津,2024,120000,91.9
宁夏,2015,640000,131.1
宁夏,2016,640000,123.1
宁夏,2017,640000,111.2
宁夏,2018,640000,112.1
宁夏,2019,640000,106.7
宁夏,2020,640000,115.6
宁夏,2021,640000,121.0
宁夏,2022,640000,117.1
宁夏,2023,640000,109.4
宁夏,2024,640000,107.7
安徽,2015,340000,142.0
安徽,2016,340000,140.9
安徽,2017,340000,137.3
安徽,2018,340000,139.5
安徽,2019,340000,147.3
安徽,2020,340000,148.3
安徽,2021,340000,151.6
安徽,2022,340000,139.5
安徽,2023,340000,147.1
安徽,2024,340000,134.3
山东,2015,370000,127.4
山东,2016,370000,125.7
山东,2017,370000,122.8
山东,2018,370000,117.2
山东,2019,370000,117.6
山东,2020,370000,124.0
山东,2021,370000,133.9
山东,2022,370000,131.6
山东,2023,370000,127.7
山东,2024,370000,98.8
山西,2015,140000,131.6
山西,2016,140000,134.6
山西,2017,140000,135.7
山西,2018,140000,137.6
山西,2019,140000,139.4
山西,2020,140000,159.3
山西,2021,140000,154.9
山西,2022,140000,133.4
山西,2023,140000,113.6
山西,2024,140000,116.8
广东,2015,440000,118.3
广东,2016,440000,118.1
广东,2017,440000,116.8
广东,2018,440000,108.7
广东,2019,440000,115.9
广东,2020,440000,128.2
广东,2021,440000,111.6
广东,2022,440000,106.5
广东,2023,440000,114.3
广东,2024,440000,105.8
广西,2015,450000,143.4
广西,2016,450000,139.0
广西,2017,450000,133.9
广西,2018,450000,128.3
广西,2019,450000,133.6
广西,2020,450000,141.8
广西,2021,450000,146.7
广西,2022,450000,134.3
广西,2023,450000,122.1
广西,2024,450000,118.7
新疆,2015,650000,181.9
新疆,2016,650000,168.1
新疆,2017,650000,159.1
新疆,2018,650000,156.2
新疆,2019,650000,133.6
新疆,2020,650000,156.0
新疆,2021,650000,132.0
新疆,2022,650000,130.4
新疆,2023,650000,133.5
新疆,2024,650000,124.3
江苏,2015,320000,122.0
江苏,2016,320000,116.9
江苏,2017,320000,114.8
江苏,2018,320000,121.9
江苏,2019,320000,120.3
江苏,2020,320000,122.1
江苏,2021,320000,134.1
江苏,2022,320000,131.8
江苏,2023,320000,136.7
江苏,2024,320000,131.3
江西,2015,360000,150.9
江西,2016,360000,146.2
江西,2017,360000,140.4
江西,2018,360000,134.5
江西,2019,360000,134.0
江西,2020,360000,154.0
江西,2021,360000,174.3
江西,2022,360000,160.9
江西,2023,360000,158.4
江西,2024,360000,143.2
河北,2015,130000,131.5
河北,2016,130000,130.6
河北,2017,130000,124.8
河北,2018,130000,130.8
河北,2019,130000,143.9
河北,2020,130000,161.8
河北,2021,130000,173.8
河北,2022,130000,181.4
河北,2023,130000,171.4
河北,2024,130000,147.3
河南,2015,410000,127.3
河南,2016,410000,125.1
河南,2017,410000,124.5
河南,2018,410000,123.4
河南,2019,410000,132.2
河南,2020,410000,150.9
河南,2021,410000,146.7
河南,2022,410000,137.0
河南,2023,410000,151.0
河南,2024,410000,141.9
浙江,2015,330000,130.6
浙江,2016,330000,135.6
浙江,2017,330000,134.1
浙江,2018,330000,132.9
浙江,2019,330000,132.9
浙江,2020,330000,137.3
浙江,2021,330000,152.1
浙江,2022,330000,146.5
浙江,2023,330000,133.8
浙江,2024,330000,128.5
海南,2015,450000,100.9
海南,2016,450000,99.38
海南,2017,450000,96.03
海南,2018,450000,94.84
海南,2019,450000,99.9
海南,2020,450000,107.7
海南,2021,450000,114.3
海南,2022,450000,104.6
海南,2023,450000,100.0
海南,2024,450000,100.2
湖北,2015,420000,123.1
湖北,2016,420000,115.3
湖北,2017,420000,112.2
湖北,2018,420000,110.9
湖北,2019,420000,117.7
湖北,2020,420000,132.9
湖北,2021,420000,134.9
湖北,2022,420000,117.2
湖北,2023,420000,116.7
湖北,2024,420000,99.3
湖南,2015,430000,148.4
湖南,2016,430000,144.4
湖南,2017,430000,146.6
湖南,2018,430000,137.6
湖南,2019,430000,144.1
湖南,2020,430000,157.2
湖南,2021,430000,161.5
湖南,2022,430000,159.1
湖南,2023,430000,143.9
湖南,2024,430000,138.6
甘肃,2015,620000,159.9
甘肃,2016,620000,157.4
甘肃,2017,620000,151.0
甘肃,2018,620000,151.8
甘肃,2019,620000,158.0
甘肃,2020,620000,159.0
甘肃,2021,620000,165.3
甘肃,2022,620000,152.5
甘肃,2023,620000,138.0
甘肃,2024,620000,131.4
福建,2015,350000,126.7
福建,2016,350000,128.4
福建,2017,350000,122.0
福建,2018,350000,125.1
福建,2019,350000,120.2
福建,2020,350000,124.4
福建,2021,350000,129.2
福建,2022,350000,120.9
福建,2023,350000,129.0
福建,2024,350000,117.0
西藏,2015,540000,276.9
西藏,2016,540000,283.3
西藏,2017,540000,284.5
西藏,2018,540000,208.9
西藏,2019,540000,187.6
西藏,2020,540000,193.6
西藏,2021,540000,161.0
西藏,2022,540000,176.0
西藏,2023,540000,168.7
西藏,2024,540000,124.0
贵州,2015,520000,135.8
贵州,2016,520000,129.5
贵州,2017,520000,121.1
贵州,2018,520000,111.3
贵州,2019,520000,108.9
贵州,2020,520000,119.3
贵州,2021,520000,132.8
贵州,2022,520000,121.2
贵州,2023,520000,122.2
贵州,2024,520000,119.5
辽宁,2015,210000,135.8
辽宁,2016,210000,134.7
辽宁,2017,210000,128.6
辽宁,2018,210000,127.8
辽宁,2019,210000,127.9
辽宁,2020,210000,145.9
辽宁,2021,210000,161.3
辽宁,2022,210000,149.3
辽宁,2023,210000,145.7
辽宁,2024,210000,144.5
重庆,2015,500000,149.77
重庆,2016,500000,151.06
重庆,2017,500000,152.55
重庆,2018,500000,135.74
重庆,2019,500000,138.1
重庆,2020,500000,149.5
重庆,2021,500000,161.0
重庆,2022,500000,158.2
重庆,2023,500000,149.7
重庆,2024,500000,135.3
陕西,2015,610000,132.7
陕西,2016,610000,131.1
陕西,2017,610000,132.4
陕西,2018,610000,131.7
陕西,2019,610000,132.2
陕西,2020,610000,142.3
陕西,2021,610000,153.5
陕西,2022,610000,148.2
陕西,2023,610000,145.8
陕西,2024,610000,137.7
青海,2015,630000,117.6
青海,2016,630000,123.8
青海,2017,630000,116.8
青海,2018,630000,113.2
青海,2019,630000,108.1
青海,2020,630000,112.2
青海,2021,630000,122.4
青海,2022,630000,120.4
青海,2023,630000,106.5
青海,2024,630000,102.3
黑龙江,2015,230000,138.6
黑龙江,2016,230000,142.6
黑龙江,2017,230000,141.2
黑龙江,2018,230000,139.9
黑龙江,2019,230000,138.8
黑龙江,2020,230000,167.1
黑龙江,2021,230000,169.7
黑龙江,2022,230000,148.0
黑龙江,2023,230000,144.1
黑龙江,2024,230000,134.6
