省份,行政区划代码,土地调查总面积（公顷）,土地调查总面积（平方公里）,调查年份,数据来源,来源链接
北京,110000,1641053.70,16410.5370,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
天津,120000,1191731.91,11917.3191,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
河北,130000,18843061.14,188430.6114,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
山西,140000,15671124.85,156711.2485,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
内蒙古,150000,114512122.96,1145121.2296,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
辽宁,210000,14806370.73,148063.7073,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
吉林,220000,19112390.97,191123.9097,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
黑龙江,230000,45264501.67,452645.0167,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
上海,310000,823901.21,8239.0121,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
江苏,320000,10667388.34,106673.8834,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
浙江,330000,10539094.51,105390.9451,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
安徽,340000,14012579.19,140125.7919,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
福建,350000,12405796.69,124057.9669,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
江西,360000,16689433.69,166894.3369,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
山东,370000,15705240.90,157052.4090,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
河南,410000,16553641.93,165536.4193,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
湖北,420000,18588842.75,185888.4275,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
湖南,430000,21185468.75,211854.6875,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
广东,440000,17975234.85,179752.3485,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
广西,450000,23755809.80,237558.0980,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
海南,460000,3535368.96,35353.6896,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
重庆,500000,8226865.00,82268.6500,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
四川,510000,48405606.95,484056.0695,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
贵州,520000,17615246.61,176152.4661,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
云南,530000,38319412.23,383194.1223,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
西藏,540000,120207150.77,1202071.5077,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
陕西,610000,20579459.87,205794.5987,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
甘肃,620000,40409087.32,404090.8732,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
青海,630000,71748052.29,717480.5229,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
宁夏,640000,5195437.51,51954.3751,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
新疆,650000,166489717.01,1664897.1701,1996,中科院地理科学与资源研究所人地系统数据库-土地面积及耕地分类面积(分省),https://www.data.ac.cn/table/tbb07
