省份,行政区划代码,2000年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年
上海,310000,,,,20.6,20.2,19.5,22.4,19.8,19.1,23.1,23.3,24.1,23.3
云南,530000,,,,25.9,26.2,26.9,27.5,27.7,24.7,30.8,33.4,35.4,34.4
内蒙古,150000,,,,16.9,16.5,17.0,20.0,19.5,18.3,26.8,24.9,27.4,25.5
北京,110000,,,,14.2,13.1,12.7,16.3,14.6,15.3,18.5,17.5,18.2,15.7
吉林,220000,,,,14.9,14.2,15.7,18.9,16.7,14.2,22.8,23.1,24.7,22.2
四川,510000,,,34.07,34.92,32.99,36.16,38.86,33.4,28.0,36.3,38.3,42.5,40.1
天津,120000,,,,15.8,16.1,15.8,16.8,15.0,14.1,17.6,18.3,18.3,17.3
宁夏,640000,,,,7.1,6.7,6.3,7.0,6.3,5.8,8.0,8.7,7.9,7.3
安徽,340000,,,,18.1,17.8,18.4,22.1,20.6,18.1,24.0,26.3,31.1,30.3
山东,370000,,12.93,13.2,12.9,12.8,13.0,15.9,14.6,12.4,20.4,20.9,25.6,22.1
山西,140000,,,,9.5,9.0,9.4,10.8,10.2,9.7,12.7,14.6,14.3,13.0
广东,440000,,27.82,29.04,29.7,29.1,29.1,34.0,30.7,26.0,29.6,34.2,40.7,38.4
广西,450000,,,,27.9,27.0,27.6,31.3,25.0,20.7,30.4,33.0,34.9,34.0
新疆,650000,,,,4.2,3.8,3.9,3.7,3.1,3.4,5.0,4.9,4.1,3.6
江苏,320000,,19.44,19.49,19.6,19.1,19.5,21.2,17.8,18.1,25.1,27.1,30.9,29.6
江西,360000,,,,20.6,19.9,20.6,25.5,23.5,24.9,31.3,33.2,39.4,36.6
河北,130000,,12.44,12.71,12.4,12.1,12.3,15.8,13.7,12.9,20.0,21.6,24.5,19.6
河南,410000,,,,11.3,10.8,10.9,12.9,12.0,10.3,18.2,19.6,24.8,21.7
浙江,330000,,,,21.9,21.5,21.9,23.7,22.0,20.0,29.4,31.7,31.9,31.0
海南,450000,,24.1,23.79,25.22,26.98,24.92,29.24,20.3,16.8,28.4,30.4,38.7,37.0
湖北,420000,,,,22.4,20.8,20.7,22.9,20.4,19.4,28.1,26.9,30.6,25.9
湖南,430000,,,,25.9,25.1,27.1,29.8,25.7,22.7,32.0,33.9,39.8,35.9
甘肃,620000,,,,12.6,11.9,11.4,14.3,13.6,11.9,16.8,17.6,17.9,15.9
福建,350000,,,,25.5,25.8,25.9,29.1,22.3,19.3,27.7,29.9,35.7,33.5
西藏,540000,,,,6.7,9.3,7.6,6.7,5.7,6.7,6.2,6.8,7.1,6.6
贵州,520000,,,,29.8,28.0,27.6,29.1,26.0,22.3,28.2,30.7,30.3,30.9
辽宁,210000,,,,18.1,18.3,18.5,19.0,17.9,16.5,26.3,27.5,30.7,27.0
重庆,500000,25.86,33.2,33.52,33.67,33.56,33.85,38.79,33.7,29.9,39.6,45.8,48.5,45.3
陕西,610000,,8.7,9.2,10.4,10.0,10.2,11.8,10.9,10.5,14.5,15.8,18.6,16.1
青海,630000,,,,10.3,12.3,11.4,9.8,8.7,8.1,13.0,13.1,12.6,11.5
黑龙江,230000,,,,13.9,14.2,15.4,18.5,15.1,15.0,24.4,23.0,27.0,22.5
