排序,省份,均值（千克/人）,分组
1,广东,199.368,第1组_1-10位
2,重庆,196.7854,第1组_1-10位
3,海南,183.956,第1组_1-10位
4,四川,176.74454545454546,第1组_1-10位
5,福建,168.792,第1组_1-10位
6,广西,168.098,第1组_1-10位
7,浙江,163.466,第1组_1-10位
8,上海,161.377,第1组_1-10位
9,湖南,161.06099999999998,第1组_1-10位
10,江西,155.063,第1组_1-10位
11,江苏,150.97491666666667,第2组_11-20位
12,安徽,150.78199999999998,第2组_11-20位
13,辽宁,143.891,第2组_11-20位
14,内蒙古,140.78,第2组_11-20位
15,云南,135.971,第2组_11-20位
16,天津,134.528,第2组_11-20位
17,湖北,132.732,第2组_11-20位
18,山东,127.1905,第2组_11-20位
19,北京,123.954,第2组_11-20位
20,贵州,121.71799999999999,第2组_11-20位
21,黑龙江,121.306,第3组_21-31位
22,吉林,116.122,第3组_21-31位
23,河南,114.66099999999999,第3组_21-31位
24,河北,113.67208333333333,第3组_21-31位
25,甘肃,89.7,第3组_21-31位
26,西藏,87.119,第3组_21-31位
27,青海,86.373,第3组_21-31位
28,山西,83.982,第3组_21-31位
29,陕西,81.78099999999999,第3组_21-31位
30,新疆,76.74,第3组_21-31位
31,宁夏,75.917,第3组_21-31位
