year,national_reference,series
2013,148.7,全国历史
2014,141.0,全国历史
2015,134.5,全国历史
2016,132.8,全国历史
2017,130.1,全国历史
2018,127.2,全国历史
2019,130.1,全国历史
2020,141.2,全国历史
2021,144.6,全国历史
2022,136.8,全国历史
2023,134.4,全国历史
2024,124.4,全国历史
2025,122.48300505126925,全国校准主序列
2026,119.1963173130192,全国校准主序列
2027,115.57548325568676,全国校准主序列
2028,112.30798992773704,全国校准主序列
2029,109.63845310231667,全国校准主序列
2030,107.267487393151,全国校准主序列
2031,105.64033118928876,全国校准主序列
2032,104.24254965783668,全国校准主序列
2033,102.98097548390052,全国校准主序列
2034,104.98097548390052,全国校准主序列
2035,106.98097548390052,全国校准主序列
