省份,train_start_year,train_end_year,sample_count,overall_slope,recent_slope,selected_slope,trend_direction,last_observed_value
上海,2015,2024,10,-0.5500000000000019,-7.833333333333333,-6.012500000000001,declining,93.6
云南,2015,2024,10,-1.0875000000000004,-7.599999999999999,-5.971874999999999,declining,118.2
内蒙古,2015,2024,10,0.9222222222222235,-3.799999999999983,-2.147222222222211,declining,164.8
北京,2015,2024,10,0.6499999999999986,-7.86666666666667,-5.7375000000000025,declining,86.3
吉林,2015,2024,10,1.5833333333333333,-3.933333333333328,-2.379999999999997,declining,144.3
四川,2014,2024,11,-4.096000000000004,-9.833333333333334,-7.003833333333335,declining,117.9
天津,2015,2024,10,-3.9444444444444446,-5.099999999999999,-4.493333333333333,declining,91.9
宁夏,2015,2024,10,-1.875,-4.433333333333333,-3.289583333333333,declining,107.7
安徽,2015,2024,10,0.0,-5.766666666666661,-4.324999999999996,declining,134.3
山东,2013,2024,12,-2.300000000000008,-11.700000000000003,-7.356250000000005,declining,98.8
山西,2015,2024,10,-0.1999999999999981,-12.700000000000003,-8.0,declining,116.8
广东,2015,2024,10,-1.1166666666666671,-5.099999999999994,-4.241666666666664,declining,105.8
广西,2015,2024,10,-2.1714285714285717,-9.333333333333329,-7.542857142857139,declining,118.7
新疆,2015,2024,10,-5.950000000000003,-2.5666666666666678,-4.466666666666669,declining,124.3
江苏,2013,2024,12,1.294999999999999,-0.9333333333333277,-0.15341666666666337,declining,131.3
江西,2015,2024,10,1.4285714285714286,-10.366666666666674,-7.41785714285715,declining,143.2
河北,2013,2024,12,3.2071428571428573,-8.833333333333334,-8.0,declining,147.3
河南,2015,2024,10,2.450000000000003,-4.200000000000017,-1.8725000000000103,declining,141.9
浙江,2015,2024,10,0.22500000000000142,-7.8666666666666645,-5.843749999999998,declining,128.5
海南,2013,2024,12,-0.06951388888888962,-4.699999999999998,-3.5423784722222216,declining,100.2
湖北,2015,2024,10,-0.5,-11.866666666666669,-8.0,declining,99.3
湖南,2015,2024,10,-0.07142857142857142,-7.6333333333333355,-5.7428571428571455,declining,138.6
甘肃,2015,2024,10,-2.5,-11.300000000000002,-8.0,declining,131.4
福建,2015,2024,10,-0.5333333333333362,-4.066666666666663,-3.1833333333333313,declining,117.0
西藏,2015,2024,10,-16.659999999999997,-12.333333333333334,-8.0,declining,124.0
贵州,2015,2024,10,-0.8500000000000014,-4.433333333333337,-2.8163888888888913,declining,119.5
辽宁,2015,2024,10,1.7000000000000028,-5.600000000000004,-3.775000000000002,declining,144.5
重庆,2000,2024,13,-1.0683333333333347,-8.566666666666663,-4.853249999999998,declining,135.3
陕西,2015,2024,10,1.3000000000000114,-5.26666666666667,-3.625,declining,137.7
青海,2015,2024,10,-1.5333333333333314,-6.700000000000003,-4.304895833333335,declining,102.3
黑龙江,2015,2024,10,0.4333333333333371,-11.699999999999998,-8.0,declining,134.6
